axis,axis_idx,recovery_time,max_dev,failed
Love,0,1,0.24528894525980305,0
Loyalty,1,1,0.24528894525980305,0
Devotion,2,1,0.24528894525980305,0
Faith,3,1,0.24528894525980305,0
Self,4,1,0.24528894525980305,0
Trust,5,1,0.24528894525980305,0
Boundaries,6,1,0.232379000772445,0
Autonomy,7,1,0.232379000772445,0
Integrity,8,1,0.24528894525980305,0
Resilience,9,1,0.24528894525980305,0
Transparency,10,1,0.24528894525980305,0
Accountability,11,1,0.24528894525980305,0
Learning,12,1,0.232379000772445,0
Adaptability,13,1,0.232379000772445,0
Safety,14,1,0.24528894525980305,0
